R0,R1,R2,l1_dist,loss,logz,states_visited,sampler
0.0001,2.0,3.0,0.02343633398413658,0.21498623490333557,2.317366600036621,200000,normal
0.0001,2.0,0.5,0.015624540857970715,2.3937204787216615e-06,2.83349609375,200000,normal
0.0001,0.1,3.0,0.01046093087643385,0.04927649721503258,2.7006430625915527,200000,normal
0.5,0.1,3.0,0.00019837735453620553,0.00024121992464642972,3.8228940963745117,200000,normal
0.0001,0.1,0.5,0.0010104223620146513,1.7891805327963084e-05,1.2817853689193726,200000,normal
0.0001,0.1,3.0,0.002138892188668251,0.00039001007098704576,2.6081149578094482,200000,topological
0.5,2.0,0.5,0.0002972072106786072,0.00042242000927217305,4.180897235870361,200000,normal
0.5,2.0,3.0,0.00027451806818135083,0.0004395039868541062,4.3416829109191895,200000,normal
0.5,0.1,0.5,0.00022535932657774538,0.0014721851330250502,3.5753378868103027,200000,normal
0.0001,0.1,0.5,0.0012693449389189482,0.011544826440513134,1.3689264059066772,200000,topological
0.0001,2.0,0.5,0.0017640884034335613,0.00033833555062301457,3.5287837982177734,200000,topological
0.0001,2.0,3.0,0.0019409398082643747,2.1482613021817087e-08,3.7850868701934814,200000,topological
0.5,0.1,0.5,0.0008594280807301402,5.660484384861775e-05,3.572314977645874,200000,topological
0.5,0.1,3.0,0.0008435450727120042,1.7796723113860935e-05,3.820773124694824,200000,topological
0.5,2.0,0.5,0.0010327247437089682,0.020575817674398422,4.2679290771484375,200000,topological
0.5,2.0,3.0,0.0009754890343174338,0.0005509384791366756,4.30467414855957,200000,topological
